#Aliases,Attributes Name Verified
Attack_not_cancel_charge,Attack not cancel charge
rage_on_kill,rage on kill
random_drop_line_item_0,random drop line item 0
random_drop_line_item_1,random drop line item 1
random_drop_line_item_2,random drop line item 2
random_drop_line_item_3,random drop line item 3
random_drop_line_item_footer_desc,random drop line item footer desc
random_drop_line_item_unusual_chance,random drop line item unusual chance
random_drop_line_item_unusual_list,random drop line item unusual list
recall,recall
recipe_component_defined_item_1,recipe component defined item 1
recipe_component_defined_item_10,recipe component defined item 10
recipe_component_defined_item_2,recipe component defined item 2
recipe_component_defined_item_3,recipe component defined item 3
recipe_component_defined_item_4,recipe component defined item 4
recipe_component_defined_item_5,recipe component defined item 5
recipe_component_defined_item_6,recipe component defined item 6
recipe_component_defined_item_7,recipe component defined item 7
recipe_component_defined_item_8,recipe component defined item 8
recipe_component_defined_item_9,recipe component defined item 9
recipe_no_partial_complete,recipe no partial complete
redirected_flame_size_mult,redirected_flame_size_mult
reduced_healing_from_medics,reduced_healing_from_medics
referenced_item_def_UPDATED,referenced item def UPDATED
referenced_item_id_high,referenced item id high
referenced_item_id_low,referenced item id low
refill_ammo,refill_ammo
reflected_flame_dmg_reduction,reflected_flame_dmg_reduction
reload_time_decreased_while_healed,reload time decreased while healed
reload_time_increased_hidden,reload time increased hidden
repair_health_to_metal_ratio_DISPLAY_ONLY,repair health to metal ratio DISPLAY ONLY
restore_health_on_kill,restore health on kill
reveal_cloaked_victim_on_hit,reveal cloaked victim on hit
reveal_disguised_victim_on_hit,reveal disguised victim on hit
revive,revive
revolver_use_hit_locations,revolver use hit locations
ring_of_fire_while_aiming,ring of fire while aiming
rj_air_bombardment,rj air bombardment
robo_sapper,robo sapper
rocket_jump_damage_reduction,rocket jump damage reduction
rocket_jump_damage_reduction_HIDDEN,rocket jump damage reduction HIDDEN
rocket_launch_impulse,rocket launch impulse
rocket_specialist,rocket specialist
rocketjump_attackrate_bonus,rocketjump attackrate bonus
sanguisuge,sanguisuge
sapper_damage_bonus,sapper damage bonus
sapper_damage_leaches_health,sapper damage leaches health
sapper_damage_penalty,sapper damage penalty
sapper_damage_penalty_hidden,sapper damage penalty hidden
sapper_degenerates_buildings,sapper degenerates buildings
sapper_health_bonus,sapper health bonus
sapper_health_penalty,sapper health penalty
sapper_kills_collect_crits,sapper kills collect crits
sapper_voice_pak,sapper voice pak
sapper_voice_pak_idle_wait,sapper voice pak idle wait
saxxy_award_category,saxxy award category
scattergun_has_knockback,scattergun has knockback
scattergun_knockback_mult,scattergun knockback mult
scattergun_no_reload_single,scattergun no reload single
self_dmg_push_force_decreased,self dmg push force decreased
self_dmg_push_force_increased,self dmg push force increased
self_mark_for_death,self mark for death
selfdmg_on_hit_for_rapidfire,selfdmg on hit for rapidfire
selfdmg_on_hit_for_slowfire,selfdmg on hit for slowfire
selfmade_description,selfmade description
series_number,series number
set_cloak_is_feign_death,set cloak is feign death
set_cloak_is_movement_based,set cloak is movement based
set_icicle_knife_mode,set icicle knife mode
set_item_tint_RGB,set item tint RGB
set_item_tint_RGB_2,set item tint RGB 2
set_supply_crate_series,set supply crate series
set_throwable_type,set throwable type
set_item_texture_wear,set_item_texture_wear
share_consumable_with_patient,share consumable with patient
shot_penetrate_all_players,shot penetrate all players
show_paint_description,show paint description
shuffle_crate_item_def_max,shuffle crate item def max
shuffle_crate_item_def_min,shuffle crate item def min
silent_killer,silent killer
single_wep_deploy_time_decreased,single wep deploy time decreased
single_wep_deploy_time_increased,single wep deploy time increased
single_wep_holster_time_increased,single wep holster time increased
slow_enemy_on_hit,slow enemy on hit
slow_enemy_on_hit_major,slow enemy on hit major
sniper_aiming_movespeed_decreased,sniper aiming movespeed decreased
sniper_charge_per_sec,sniper charge per sec
sniper_crit_no_scope,sniper crit no scope
sniper_fires_tracer,sniper fires tracer
sniper_fires_tracer_HIDDEN,sniper fires tracer HIDDEN
sniper_full_charge_damage_bonus,sniper full charge damage bonus
sniper_independent_zoom_DISPLAY_ONLY,sniper independent zoom DISPLAY ONLY
sniper_no_charge,sniper no charge
sniper_no_headshot_without_full_charge,sniper no headshot without full charge
sniper_no_headshots,sniper no headshots
sniper_only_fire_zoomed,sniper only fire zoomed
sniper_penetrate_players_when_charged,sniper penetrate players when charged
sniper_rage_DISPLAY_ONLY,sniper rage DISPLAY ONLY
sniper_zoom_penalty,sniper zoom penalty
soldier_model_index,soldier model index
spawn_with_physics_toy,spawn with physics toy
special_taunt,special taunt
speed_boost_when_active,speed boost when active
speed_buff_ally,speed buff ally
speed_boost_on_hit,speed_boost_on_hit
speed_boost_on_hit_enemy,speed_boost_on_hit_enemy
speed_boost_on_kill,speed_boost_on_kill
spellbook_page_attr_id,spellbook page attr id
spread_penalty,spread penalty
spunup_damage_resistance,spunup_damage_resistance
spunup_push_force_immunity,spunup_push_force_immunity
start_drop_date,start drop date
stickies_detonate_stickies,stickies detonate stickies
sticky_air_burst_mode,sticky air burst mode
sticky_arm_time_bonus,sticky arm time bonus
sticky_arm_time_penalty,sticky arm time penalty
sticky_detonate_mode,sticky detonate mode
stickybomb_charge_rate,stickybomb charge rate
stickybomb_fizzle_time,stickybomb fizzle time
stickybomb_charge_damage_increase,stickybomb_charge_damage_increase
strange_part_new_counter_ID,strange part new counter ID
strange_restriction_type_1,strange restriction type 1
strange_restriction_type_2,strange restriction type 2
strange_restriction_type_3,strange restriction type 3
strange_restriction_user_type_1,strange restriction user type 1
strange_restriction_user_type_2,strange restriction user type 2
strange_restriction_user_type_3,strange restriction user type 3
strange_restriction_user_value_1,strange restriction user value 1
strange_restriction_user_value_2,strange restriction user value 2
strange_restriction_user_value_3,strange restriction user value 3
strange_restriction_value_1,strange restriction value 1
strange_restriction_value_2,strange restriction value 2
strange_restriction_value_3,strange restriction value 3
strange_score_selector,strange score selector
stun_enemies_wielding_same_weapon,stun enemies wielding same weapon
style_changes_on_strange_level,style changes on strange level
subtract_victim_cloak_on_hit,subtract victim cloak on hit
subtract_victim_medigun_charge_on_hit,subtract victim medigun charge on hit
switch_from_wep_deploy_time_decreased,switch from wep deploy time decreased
tag__eotlearlysupport,tag__eotlearlysupport
tag__summer2014,tag__summer2014
taunt_attach_particle_index,taunt attach particle index
taunt_attack_name,taunt attack name
taunt_attack_time,taunt attack time
taunt_force_move_forward,taunt force move forward
taunt_force_weapon_slot,taunt force weapon slot
taunt_is_highfive,taunt is highfive
taunt_is_press_and_hold,taunt is press and hold
taunt_mimic,taunt mimic
taunt_move_acceleration_time,taunt move acceleration time
taunt_move_speed,taunt move speed
taunt_only_unusual_effect,taunt only unusual effect
taunt_success_sound,taunt success sound
taunt_success_sound_loop,taunt success sound loop
taunt_success_sound_loop_offset,taunt success sound loop offset
taunt_success_sound_offset,taunt success sound offset
taunt_turn_acceleration_time,taunt turn acceleration time
taunt_turn_speed,taunt turn speed
taunt_attr_player_invis_percent,taunt_attr_player_invis_percent
texture_wear_default,texture_wear_default
thermal_thruster,thermal_thruster
thermal_thruster_air_launch,thermal_thruster_air_launch
throwable_damage,throwable damage
throwable_detonation_time,throwable detonation time
throwable_fire_speed,throwable fire speed
throwable_healing,throwable healing
throwable_particle_trail_only,throwable particle trail only
throwable_recharge_time,throwable recharge time
tickle_enemies_wielding_same_weapon,tickle enemies wielding same weapon
tmp_dmgbuff_on_hit,tmp dmgbuff on hit
tool_escrow_until_date,tool escrow until date
tool_needs_giftwrap,tool needs giftwrap
tool_target_item,tool target item
tool_target_item_icon_offset,tool_target_item_icon_offset
torso_scale,torso scale
tradable_after_date,tradable after date
turn_to_gold,turn to gold
uber_duration_bonus,uber duration bonus
ubercharge,ubercharge
ubercharge_overheal_rate_penalty,ubercharge overheal rate penalty
ubercharge_rate_bonus,ubercharge rate bonus
ubercharge_rate_bonus_for_healer,ubercharge rate bonus for healer
ubercharge_rate_penalty,ubercharge rate penalty
ubercharge_preserved_on_spawn_max,ubercharge_preserved_on_spawn_max
unique_craft_index,unique craft index
unlimited_quantity,unlimited quantity
unlimited_quantity_hidden,unlimited quantity hidden
unusualifier_attribute_template_name,unusualifier_attribute_template_name
upgrade_rate_decrease,upgrade rate decrease
use_large_smoke_explosion,use large smoke explosion
use_model_cache_icon,use_model_cache_icon
uses_ammo_while_aiming,uses ammo while aiming
vision_opt_in_flags,vision opt in flags
voice_pitch_scale,voice pitch scale
weapon_burn_dmg_increased,weapon burn dmg increased
weapon_burn_dmg_reduced,weapon burn dmg reduced
weapon_burn_time_increased,weapon burn time increased
weapon_burn_time_reduced,weapon burn time reduced
weapon_spread_bonus,weapon spread bonus
weapon_allow_inspect,weapon_allow_inspect
weapon_stattrak_module_scale,weapon_stattrak_module_scale
weapon_uses_stattrak_module,weapon_uses_stattrak_module
wide_item_level,wide item level
zombiezombiezombiezombie,zombiezombiezombiezombie
zoom_speed_mod_disabled,zoom speed mod disabled
,
#Custom Attributes' Aliases,Custom Attributes
CUSTOM_medigun_drains_health,medigun drains health
CUSTOM_oil_replaces_airblast,oil replaces airblast
